Date,Total Match Count
Results for June 18th 2009,1
Results for June 17th 2009,2
Results for June 16th 2009,2
Results for June 15th 2009,14
Results for June 14th 2009,25
Results for June 13th 2009,8
Results for June 12th 2009,1
Results for June 11th 2009,5
Results for June 10th 2009,7
Results for June 9th 2009,12
Results for June 8th 2009,4
Results for June 7th 2009,1
Results for June 5th 2009,3
Results for June 3rd 2009,6
Results for June 2nd 2009,1
Results for May 31st 2009,2
Results for May 30th 2009,1
Results for May 29th 2009,1
Results for May 28th 2009,14
Results for May 27th 2009,1
Results for May 26th 2009,8
Results for May 25th 2009,10
Results for May 24th 2009,2
Results for May 23rd 2009,1
Results for May 22nd 2009,1
Results for May 21st 2009,4
Results for May 20th 2009,9
Results for May 19th 2009,10
Results for May 18th 2009,4
Results for May 17th 2009,6
Results for May 16th 2009,34
Results for May 14th 2009,6
Results for May 13th 2009,11
Results for May 12th 2009,6
Results for May 10th 2009,4
Results for May 9th 2009,12
Results for May 7th 2009,7
Results for May 5th 2009,4
Results for May 4th 2009,30
Results for May 3rd 2009,2
Results for April 30th 2009,6
Results for April 29th 2009,12
Results for April 28th 2009,14
Results for April 27th 2009,7
Results for April 24th 2009,3
Results for April 23rd 2009,9
Results for April 22nd 2009,11
Results for April 21st 2009,11
Results for April 20th 2009,11
Results for April 19th 2009,5
Results for April 18th 2009,7
Results for April 16th 2009,10
Results for April 15th 2009,11
Results for April 14th 2009,16
Results for April 13th 2009,7
Results for April 12th 2009,3
Results for April 11th 2009,15
Results for April 10th 2009,1
Results for April 9th 2009,7
Results for April 8th 2009,3
Results for April 7th 2009,5
Results for April 6th 2009,6
Results for April 5th 2009,56
Results for April 4th 2009,38
Results for April 3rd 2009,2
Results for April 2nd 2009,3
Results for April 1st 2009,9
Results for March 31st 2009,6
Results for March 30th 2009,7
Results for March 29th 2009,13
Results for March 28th 2009,10
Results for March 26th 2009,3
Results for March 25th 2009,4
Results for March 24th 2009,2
Results for March 23rd 2009,2
Results for March 22nd 2009,1
Results for March 21st 2009,1
Results for March 20th 2009,1
Results for March 19th 2009,4
Results for March 18th 2009,4
Results for March 17th 2009,3
Results for March 16th 2009,4
Results for March 15th 2009,36
Results for March 14th 2009,49
Results for March 12th 2009,1
Results for March 11th 2009,4
Results for March 10th 2009,1
Results for March 9th 2009,4
Results for March 8th 2009,2
Results for March 7th 2009,5
Results for March 6th 2009,29
Results for March 5th 2009,5
Results for March 4th 2009,4
Results for March 3rd 2009,28
Results for March 1st 2009,10
Results for February 28th 2009,22
Results for February 26th 2009,2
Results for February 25th 2009,5
Results for February 23rd 2009,2
Results for February 22nd 2009,4
Results for February 19th 2009,3
Results for February 18th 2009,5
Results for February 17th 2009,3
Results for February 16th 2009,3
Results for February 15th 2009,34
Results for February 14th 2009,11
Results for February 13th 2009,2
Results for February 12th 2009,3
Results for February 11th 2009,3
Results for February 10th 2009,3
Results for February 9th 2009,3
Results for February 8th 2009,37
Results for February 7th 2009,1
Results for February 5th 2009,2
Results for February 4th 2009,1
Results for February 3rd 2009,2
Results for February 2nd 2009,8
Results for February 1st 2009,44
Results for January 29th 2009,2
Results for January 28th 2009,4
Results for January 27th 2009,2
Results for January 26th 2009,3
Results for January 25th 2009,7
Results for January 24th 2009,18
Results for January 22nd 2009,3
Results for January 20th 2009,3
Results for January 19th 2009,3
Results for January 18th 2009,3
Results for January 17th 2009,3
Results for January 16th 2009,27
Results for January 15th 2009,6
Results for January 14th 2009,4
Results for January 13th 2009,4
Results for January 12th 2009,24
Results for January 11th 2009,35
Results for January 10th 2009,30
Results for January 8th 2009,3
Results for January 7th 2009,1
Results for December 22nd 2008,1
Results for December 18th 2008,5
Results for December 17th 2008,2
Results for December 15th 2008,1
Results for December 14th 2008,23
Results for December 11th 2008,7
Results for December 10th 2008,2
Results for December 9th 2008,3
Results for December 8th 2008,3
Results for December 7th 2008,2
Results for December 6th 2008,1
Results for December 4th 2008,4
Results for December 2nd 2008,4
Results for December 1st 2008,6
Results for November 30th 2008,1
Results for November 29th 2008,12
Results for November 28th 2008,21
Results for November 26th 2008,10
Results for November 25th 2008,1
Results for November 24th 2008,2
Results for November 23rd 2008,2
Results for November 22nd 2008,4
Results for November 21st 2008,5
Results for November 20th 2008,8
Results for November 19th 2008,8
Results for November 18th 2008,7
Results for November 17th 2008,4
Results for November 16th 2008,10
Results for November 15th 2008,3
Results for November 14th 2008,1
Results for November 13th 2008,3
Results for November 12th 2008,6
Results for November 11th 2008,2
Results for November 10th 2008,6
Results for November 9th 2008,1
Results for November 8th 2008,14
Results for November 7th 2008,69
Results for November 6th 2008,34
Results for November 4th 2008,3
Results for November 3rd 2008,4
Results for November 2nd 2008,4
Results for November 1st 2008,1
Results for October 31st 2008,1
Results for October 30th 2008,9
Results for October 29th 2008,7
Results for October 28th 2008,11
Results for October 27th 2008,9
Results for October 26th 2008,4
Results for October 25th 2008,1
Results for October 24th 2008,4
Results for October 23rd 2008,10
Results for October 22nd 2008,23
Results for October 21st 2008,4
Results for October 19th 2008,10
Results for October 18th 2008,12
Results for October 17th 2008,2
Results for October 16th 2008,2
Results for October 15th 2008,3
Results for October 14th 2008,4
Results for October 13th 2008,8
Results for October 12th 2008,33
Results for October 11th 2008,60
Results for October 10th 2008,6
Results for October 9th 2008,8
Results for October 8th 2008,2
Results for October 7th 2008,2
Results for October 5th 2008,6
Results for October 4th 2008,19
Results for October 3rd 2008,10
Results for October 1st 2008,6
Results for September 30th 2008,2
Results for September 29th 2008,4
Results for September 28th 2008,34
Results for September 27th 2008,22
Results for September 26th 2008,10
Results for September 25th 2008,2
Results for September 24th 2008,6
Results for September 23rd 2008,1
Results for September 22nd 2008,4
Results for September 21st 2008,57
Results for September 19th 2008,3
Results for September 18th 2008,13
Results for September 17th 2008,4
Results for September 16th 2008,2
Results for September 15th 2008,4
Results for September 14th 2008,34
Results for September 13th 2008,7
Results for September 12th 2008,44
Results for September 11th 2008,4
Results for September 10th 2008,5
Results for September 9th 2008,1
Results for September 7th 2008,37
Results for September 6th 2008,24
Results for September 5th 2008,1
Results for September 4th 2008,7
Results for September 3rd 2008,2
Results for September 1st 2008,5
Results for August 31st 2008,38
Results for August 30th 2008,18
Results for August 28th 2008,2
Results for August 27th 2008,8
Results for August 26th 2008,49
Results for August 25th 2008,35
Results for August 24th 2008,5
Results for August 23rd 2008,1
Results for August 22nd 2008,4
Results for August 21st 2008,1
Results for August 20th 2008,6
Results for August 19th 2008,2
Results for August 18th 2008,4
Results for August 17th 2008,4
Results for August 15th 2008,3
Results for August 14th 2008,2
Results for August 13th 2008,5
Results for August 12th 2008,8
Results for August 11th 2008,9
Results for August 10th 2008,8
Results for August 9th 2008,3
Results for August 8th 2008,2
Results for August 7th 2008,27
Results for August 6th 2008,5
Results for August 3rd 2008,7
Results for August 2nd 2008,4
Results for August 1st 2008,6
Results for July 31st 2008,2
Results for July 30th 2008,5
Results for July 29th 2008,1
Results for July 28th 2008,1
Results for July 26th 2008,9
Results for July 25th 2008,29
Results for July 24th 2008,32
Results for July 22nd 2008,1
Results for July 21st 2008,1
Results for July 16th 2008,1
Results for July 10th 2008,1
Results for July 9th 2008,2
Results for July 6th 2008,14
Results for July 5th 2008,48
Results for July 2nd 2008,2
Results for July 1st 2008,1
Results for June 26th 2008,2
Results for June 24th 2008,3
Results for June 22nd 2008,1
Results for June 19th 2008,3
Results for June 18th 2008,1
Results for June 17th 2008,2
Results for June 16th 2008,16
Results for June 15th 2008,33
Results for June 14th 2008,14
Results for June 13th 2008,1
Results for June 10th 2008,1
Results for June 7th 2008,1
Results for June 5th 2008,1
Results for June 3rd 2008,1
Results for June 1st 2008,11
Results for May 31st 2008,15
Results for May 30th 2008,1
Results for May 28th 2008,6
Results for May 27th 2008,2
Results for May 24th 2008,1
Results for May 22nd 2008,7
Results for May 20th 2008,1
Results for May 19th 2008,2
Results for May 18th 2008,2
Results for May 17th 2008,53
Results for May 16th 2008,1
Results for May 15th 2008,1
Results for May 14th 2008,1
Results for May 13th 2008,4
Results for May 11th 2008,7
Results for May 10th 2008,38
Results for May 8th 2008,3
Results for May 7th 2008,1
Results for May 6th 2008,3
Results for May 5th 2008,5
Results for May 4th 2008,1
Results for May 3rd 2008,4
Results for May 2nd 2008,1
Results for May 1st 2008,1
Results for April 30th 2008,3
Results for April 29th 2008,2
Results for April 28th 2008,6
Results for April 27th 2008,3
Results for April 26th 2008,1
Results for April 24th 2008,3
Results for April 23rd 2008,5
Results for April 22nd 2008,1
Results for April 21st 2008,4
Results for April 20th 2008,6
Results for April 19th 2008,3
Results for April 18th 2008,1
Results for April 16th 2008,5
Results for April 15th 2008,2
Results for April 14th 2008,5
Results for April 13th 2008,1
Results for April 10th 2008,4
Results for April 9th 2008,5
Results for April 8th 2008,1
Results for April 7th 2008,10
Results for April 6th 2008,17
Results for April 5th 2008,23
Results for April 3rd 2008,1
Results for April 2nd 2008,5
Results for March 31st 2008,5
Results for March 30th 2008,1
Results for March 29th 2008,11
Results for March 28th 2008,37
Results for March 27th 2008,29
Results for March 26th 2008,3
Results for March 25th 2008,3
Results for March 24th 2008,5
Results for March 23rd 2008,2
Results for March 22nd 2008,26
Results for March 21st 2008,1
Results for March 20th 2008,2
Results for March 19th 2008,5
Results for March 18th 2008,1
Results for March 17th 2008,1
Results for March 16th 2008,2
Results for March 13th 2008,2
Results for March 12th 2008,2
Results for March 11th 2008,1
Results for March 9th 2008,2
Results for March 8th 2008,8
Results for March 7th 2008,26
Results for March 6th 2008,11
Results for March 3rd 2008,2
Results for February 28th 2008,1
Results for February 27th 2008,1
Results for February 25th 2008,6
Results for February 23rd 2008,1
Results for February 22nd 2008,3
Results for February 21st 2008,1
Results for February 20th 2008,4
Results for February 18th 2008,5
Results for February 17th 2008,2
Results for February 16th 2008,1
Results for February 14th 2008,1
Results for February 11th 2008,6
Results for February 10th 2008,3
Results for February 9th 2008,3
Results for February 7th 2008,1
Results for February 6th 2008,6
Results for February 5th 2008,4
Results for February 4th 2008,4
Results for February 3rd 2008,1
Results for January 31st 2008,2
Results for January 30th 2008,4
Results for January 29th 2008,3
Results for January 28th 2008,1
Results for January 27th 2008,6
Results for January 26th 2008,13
Results for January 24th 2008,3
Results for January 23rd 2008,4
Results for January 22nd 2008,2
Results for January 21st 2008,4
Results for January 20th 2008,5
Results for January 18th 2008,1
Results for January 17th 2008,2
Results for January 16th 2008,3
Results for January 15th 2008,3
Results for January 14th 2008,2
Results for January 13th 2008,3
Results for January 10th 2008,4
Results for January 9th 2008,6
Results for January 8th 2008,2
Results for January 7th 2008,5
Results for January 6th 2008,6
Results for January 5th 2008,5
Results for January 4th 2008,2
Results for January 3rd 2008,3
Results for January 2nd 2008,3
Results for December 29th 2007,10
Results for December 28th 2007,9
Results for December 27th 2007,1
Results for December 20th 2007,3
Results for December 19th 2007,4
Results for December 17th 2007,2
Results for December 16th 2007,4
Results for December 13th 2007,2
Results for December 12th 2007,2
Results for December 10th 2007,2
Results for December 9th 2007,5
Results for December 8th 2007,18
Results for December 5th 2007,4
Results for December 3rd 2007,2
Results for December 1st 2007,15
Results for November 30th 2007,42
Results for November 29th 2007,1
Results for November 28th 2007,2
Results for November 27th 2007,1
Results for November 26th 2007,1
Results for November 25th 2007,3
Results for November 24th 2007,58
Results for November 22nd 2007,1
Results for November 21st 2007,2
Results for November 19th 2007,2
Results for November 18th 2007,5
Results for November 17th 2007,13
Results for November 16th 2007,3
Results for November 15th 2007,5
Results for November 14th 2007,3
Results for November 13th 2007,1
Results for November 12th 2007,2
Results for November 11th 2007,1
Results for November 9th 2007,1
Results for November 8th 2007,5
Results for November 7th 2007,4
Results for November 4th 2007,27
Results for November 2nd 2007,22
Results for November 1st 2007,4
Results for October 31st 2007,7
Results for October 30th 2007,6
Results for October 29th 2007,3
Results for October 28th 2007,19
Results for October 27th 2007,42
Results for October 26th 2007,3
Results for October 25th 2007,1
Results for October 24th 2007,1
Results for October 23rd 2007,1
Results for October 22nd 2007,1
Results for October 21st 2007,9
Results for October 20th 2007,47
Results for October 19th 2007,54
Results for October 18th 2007,1
Results for October 16th 2007,1
Results for October 15th 2007,2
Results for October 13th 2007,11
Results for October 7th 2007,7
Results for October 6th 2007,8
Results for October 5th 2007,38
Results for October 4th 2007,18
Results for September 29th 2007,15
Results for September 27th 2007,3
Results for September 26th 2007,16
Results for September 25th 2007,17
Results for September 24th 2007,7
Results for September 23rd 2007,13
Results for September 22nd 2007,2
Results for September 21st 2007,3
Results for September 20th 2007,1
Results for September 19th 2007,25
Results for September 18th 2007,26
Results for September 17th 2007,3
Results for September 16th 2007,13
Results for September 13th 2007,7
Results for September 12th 2007,1
Results for September 11th 2007,21
Results for September 10th 2007,3
Results for September 8th 2007,2
Results for September 5th 2007,1
Results for September 3rd 2007,2
Results for September 2nd 2007,12
Results for September 1st 2007,16
Results for August 28th 2007,1
Results for August 25th 2007,2
Results for August 21st 2007,1
Results for August 18th 2007,7
Results for August 17th 2007,8
Results for August 8th 2007,1
Results for August 6th 2007,1
Results for August 5th 2007,4
Results for August 4th 2007,22
Results for August 3rd 2007,29
Results for August 2nd 2007,5
Results for July 31st 2007,1
Results for July 30th 2007,2
Results for July 29th 2007,2
Results for July 28th 2007,14
Results for July 27th 2007,14
Results for July 24th 2007,1
Results for July 22nd 2007,9
Results for July 21st 2007,28
Results for July 20th 2007,26
Results for July 18th 2007,2
Results for July 17th 2007,1
Results for July 15th 2007,1
Results for July 14th 2007,1
Results for July 8th 2007,4
Results for July 7th 2007,30
Results for July 6th 2007,36
Results for July 5th 2007,40
Results for July 4th 2007,1
Results for July 2nd 2007,2
Results for June 28th 2007,1
Results for June 27th 2007,2
Results for June 23rd 2007,16
Results for June 22nd 2007,8
Results for June 21st 2007,1
Results for June 20th 2007,1
Results for June 19th 2007,1
Results for June 18th 2007,2
Results for June 17th 2007,12
Results for June 16th 2007,1
Results for June 12th 2007,2
Results for June 10th 2007,1
Results for June 7th 2007,1
Results for June 5th 2007,2
Results for June 2nd 2007,13
Results for May 31st 2007,4
Results for May 30th 2007,2
Results for May 27th 2007,1
Results for May 26th 2007,1
Results for May 22nd 2007,4
Results for May 21st 2007,3
Results for May 20th 2007,16
Results for May 19th 2007,13
Results for May 18th 2007,5
Results for May 15th 2007,4
Results for May 14th 2007,5
Results for May 13th 2007,1
Results for May 11th 2007,4
Results for May 9th 2007,6
Results for May 8th 2007,3
Results for May 7th 2007,4
Results for May 6th 2007,3
Results for May 5th 2007,5
Results for May 3rd 2007,9
Results for May 2nd 2007,4
Results for May 1st 2007,2
Results for April 29th 2007,4
Results for April 26th 2007,7
Results for April 24th 2007,7
Results for April 23rd 2007,5
Results for April 22nd 2007,3
Results for April 21st 2007,1
Results for April 19th 2007,6
Results for April 18th 2007,8
Results for April 17th 2007,4
Results for April 16th 2007,2
Results for April 15th 2007,2
Results for April 10th 2007,1
Results for March 28th 2007,1
Results for March 27th 2007,1
Results for March 24th 2007,7
Results for March 18th 2007,1
Results for March 17th 2007,10
Results for March 16th 2007,7
Results for March 15th 2007,14
Results for March 14th 2007,3
Results for March 7th 2007,1
Results for March 4th 2007,3
Results for March 3rd 2007,1
Results for March 1st 2007,2
Results for February 28th 2007,2
Results for February 25th 2007,1
Results for February 21st 2007,4
Results for February 20th 2007,2
Results for February 19th 2007,30
Results for February 18th 2007,2
Results for February 17th 2007,14
Results for February 14th 2007,1
Results for February 12th 2007,2
Results for February 9th 2007,1
Results for February 8th 2007,1
Results for February 7th 2007,12
Results for February 6th 2007,1
Results for February 5th 2007,1
Results for February 2nd 2007,1
Results for January 30th 2007,1
Results for January 29th 2007,1
Results for January 26th 2007,1
Results for January 25th 2007,1
Results for January 23rd 2007,12
Results for January 21st 2007,1
Results for January 20th 2007,1
Results for January 19th 2007,10
Results for January 17th 2007,1
Results for January 8th 2007,1
Results for December 22nd 2006,7
Results for December 20th 2006,9
Results for December 19th 2006,38
Results for December 18th 2006,54
Results for December 17th 2006,23
Results for December 15th 2006,6
Results for December 12th 2006,1
Results for December 11th 2006,3
Results for December 10th 2006,11
Results for December 9th 2006,4
Results for December 8th 2006,2
Results for December 5th 2006,1
Results for December 3rd 2006,9
Results for December 2nd 2006,7
Results for December 1st 2006,15
Results for November 30th 2006,10
Results for November 29th 2006,3
Results for November 28th 2006,6
Results for November 27th 2006,6
Results for November 24th 2006,2
Results for November 23rd 2006,3
Results for November 20th 2006,1
Results for November 16th 2006,3
Results for November 13th 2006,1
Results for November 5th 2006,3
Results for November 1st 2006,1
Results for October 31st 2006,1
Results for October 28th 2006,1
Results for October 26th 2006,1
Results for October 25th 2006,1
Results for October 22nd 2006,1
Results for October 21st 2006,14
Results for October 20th 2006,39
Results for October 19th 2006,34
Results for August 23rd 2006,2
Results for August 15th 2006,3
Results for August 14th 2006,1
Results for August 13th 2006,1
Results for August 12th 2006,6
Results for August 7th 2006,1
Results for August 2nd 2006,1
Results for August 1st 2006,1
Results for July 29th 2006,2
Results for July 27th 2006,1
Results for July 26th 2006,2
Results for July 24th 2006,1
Results for July 23rd 2006,2
Results for July 20th 2006,1
Results for July 19th 2006,1
Results for July 18th 2006,2
Results for July 9th 2006,1
Results for July 8th 2006,25
Results for July 7th 2006,22
